ean,nombre,marca,medida,rubro,precio,precioNumerico
77967442,ALFAJOR CHOCOLATE DOBLE TRASSENS X 65 GRS,TRASSENS,GRM,Frutas y Verduras,"0,00",0.0
77969071,CHICLE MENTA BELDENT X 10 GRS,BELDENT,GRS,Almacén,"0,00",0.0
77969088,CHICLE MENTA FUERTE BELDENT X 10 GRS,BELDENT,GRS,Desayuno,"0,00",0.0
77969095,CHICLE MENTOL BELDENT X 10 GRS,BELDENT,GRS,Almacén,"0,00",0.0
77969101,CHICLE GLOBO BELDENT X 10 GRS,BELDENT,GRS,Almacén,"0,00",0.0
77969118,CHICLE GLOBO FRUTILLA BELDENT X 10 GRS,BELDENT,GRS,Frutas y Verduras,"0,00",0.0
77969354,TABLETA CHOCOLATIN LECHE GEORGALOS X 8 GRS,GEORGALOS,GRS,Lácteos,"0,00",0.0
77969361,TABLETA CHOCOLATIN BLANCO GEORGALOS X 8 GRS,GEORGALOS,GRS,Almacén,"0,00",0.0
77971333,CHOCOLATE BLACK BIZNIKKE X 28 GRS,BIZNIKKE,GRM,Desayuno,"0,00",0.0
77973986,CHOCOLATE ESTILO DUBAI COFLER X 43 GRS,COFLER,GRM,Desayuno,"0,00",0.0
77975225,WHISKY CRIADORES PETACA X 195 CC,CRIADORES,CM3,Bebidas,"0,00",0.0
77976109,TABLETA DULCE DE LECHE VAUQUITA X 25 GRS,VAUQUITA,GRM,Lácteos,"0,00",0.0
77976291,GALLETITA BANADA TITA X 19 GRS,TITA,GRS,Desayuno,"0,00",0.0
77976307,ALFAJOR CHOCOLATE TRIPLE OREO X 56 GRS,OREO,GRM,Frutas y Verduras,"0,00",0.0
77980212,ALFAJOR CHOCOLATE BLANCO GUAYMALLEN X 38 GRS,GUAYMALLEN,GRM,Frutas y Verduras,"0,00",0.0
77980229,ALFAJOR CHOCOLATE GUAYMALLEN X 38 GRS,GUAYMALLEN,GRS,Frutas y Verduras,"0,00",0.0
77980267,ALFAJOR DULCE DE LECHE TRIPLE GUAYMALLEN X70GRS,GUAYMALLEN,GRM,Lácteos,"0,00",0.0
77980274,ALFAJOR CHOCOLATE TRIPLE GUAYMALLEN X 70 GRS,GUAYMALLEN,GRM,Frutas y Verduras,"0,00",0.0
77981455,BARRA RELLENA FRUTILLAC CHOCO CEREAL MIX X 26 GRS,CEREAL MIX,GRS,Frutas y Verduras,"0,00",0.0
77981912,TABLETA CHOCO BLANCO C MANI COFLER BLOCK X 38 GRS,BLOCK,GRM,Almacén,"0,00",0.0
77982698,SHAMPOO CERAMIDAS SEDAL X 10 CC,SEDAL,CM3,Limpieza,"0,00",0.0
77982704,SHAMPOO CREMA BALANCE SEDAL X 10 CC,SEDAL,CM3,Limpieza,"0,00",0.0
77982728,ACONDICIONADOR CERAMIDAS SEDAL X 10 CC,SEDAL,CM3,Limpieza,"0,00",0.0
77982735,ACONDICIONADOR CREMA BALANCE SEDAL X 10 CC,SEDAL,CM3,Limpieza,"0,00",0.0
77983794,CHICLES BUBBLE FUN 7 TOPLINE X 14 GRS,TOPLINE,GRM,Almacén,"0,00",0.0
77983992,TABLETA CHOCOLATE BLANCO C MANI SHOT X 35 GRS,SHOT,GRS,Desayuno,"0,00",0.0
77987686,CHICLE SANDIA BELDENT X 5 GRS,BELDENT,GRM,Almacén,"0,00",0.0
77987839,ALFAJOR ARROZ BLANCO LULEMUU X 22 GRS,LULEMUU,GRM,Frutas y Verduras,"0,00",0.0
77987846,ALFAJOR ARROZ NEGRO LULEMUU X 22 GRS,LULEMUU,GRM,Frutas y Verduras,"0,00",0.0
77987853,ALFAJOR ARROZ RELL MARROC C CHOC LULEMUU X 22 GRS,LULEMUU,GRM,Frutas y Verduras,"0,00",0.0
77987877,ALFAJOR ARROZ RELL LIMON LULEMUU X 22 GRS,LULEMUU,GRM,Frutas y Verduras,"0,00",0.0
77987884,ALFAJOR ARROZ RELL FRUTILLA LULEMUU X 22 GRS,LULEMUU,GRM,Frutas y Verduras,"0,00",0.0
77987983,ANTITRANSPIRANTE CREMA ODORONO REXONA X 60 GRS,REXONA,GRM,Perfumería,"0,00",0.0
77988263,BOMBON RELLENO BANANITA DOLCA X 30 GRS,BANANITA DOLCA,GRS,Almacén,"0,00",0.0
77988690,PASTILLAS CITRUS MIX TIC TAC X 16 GRS,TIC TAC,GRM,Almacén,"0,00",0.0
77989956,BARRA CEREAL COCO Y CHOCO CARREFOUR CLASSIC X21GRS,CARREFOUR CLASSIC,GRS,Desayuno,"0,00",0.0
77989970,BARRA CEREAL FRUT Y YOGUR CARREFOUR CLASSIC X21GRS,CARREFOUR CLASSIC,GRS,Lácteos,"0,00",0.0
77989987,BARRA DE CEREAL MANZANA CARREFOUR CLASSIC X 21 GRS,CARREFOUR CLASSIC,GRS,Frutas y Verduras,"0,00",0.0
77989994,PANUELOS DESC POCKET CARREFOUR SOFT X 10 UNI,CARREFOUR SOFT,UNI,Almacén,"0,00",0.0
77991386,PASTILLAS FRUTILLA CREMA TIC TAC X 16 GRS,TIC TAC,GRS,Frutas y Verduras,"0,00",0.0
77991577,ALFAJOR CHOCO NEGRO TRIPLE FANTOCHE X 85 GRS,FANTOCHE,GRM,Frutas y Verduras,"0,00",0.0
77991584,ALFAJOR CHOCO BLANCO TRIPLE FANTOCHE X 85 GRS,FANTOCHE,GRM,Frutas y Verduras,"0,00",0.0
77993489,CINTA PYTHON ALTA RESISTENCIA GRIS 7 MTS,PYTHON,UNI,Desayuno,"0,00",0.0
77993502,CINTA PYTHON ALTA RESISTENCIA NEGRO 7 MTS,PYTHON,UNI,Desayuno,"0,00",0.0
77993540,TURRON TURROCKLETS X 25 GRS,ROCKLETS,GRM,Bebidas,"0,00",0.0
77995681,OBLEA BANADA CHOCOLATE RHODESIA X 22 GRS,RHODESIA,GRM,Desayuno,"0,00",0.0
78600010,PASTILLAS SABOR MENTA TIC TAC X 16 GRS,TIC TAC,GRM,Almacén,"0,00",0.0
78600027,PASTILLAS SABOR NARANJA TIC TAC X 16 GRS,TIC TAC,GRM,Frutas y Verduras,"0,00",0.0
78909434,BOMBON RELLENO FERRERO ROCHER X 3 UNI,FERRERO ROCHER,GRM,Almacén,"0,00",0.0
78923454,ANTITRANSPIRANTE ROLLON V8 MEN REXONA X50 CC,REXONA,GRM,Perfumería,"0,00",0.0
78924338,ANTITRANSPIRANTE ROLL ON POWDER REXONA X 50 CC,REXONA,CM3,Perfumería,"0,00",0.0
78924345,ANTITRANSPIRANTE ROLL ON BAMBOO REXONA X 50 CC,REXONA,CM3,Perfumería,"0,00",0.0
78924352,ANTITRANSPIRANTE ROLLON COTTON WOMEN REXONA X 50CC,REXONA,CM3,Perfumería,"0,00",0.0
78924468,ANTITRANSPIRANTE ROLL ON ORIGINAL DOVE X 50 CC,DOVE,ML,Perfumería,"0,00",0.0
78924529,ANTITRANSPIRANTE ROLLON INVISIBLE DRY DOVE X 50 CC,DOVE,ML,Perfumería,"0,00",0.0
78925472,ANTITRANSPIRANTE ROLLON INVIS MEN REXONA X50CC,REXONA,GRM,Perfumería,"0,00",0.0
78925519,ANTITRANSPIRANTE ROLLON EXTRA FRESH DOVE MEN X50CC,DOVE,GRM,Perfumería,"0,00",0.0
78930643,CARAMELOS MASTICABLES TUTTI FRUTTI MENTOS X29.7GRS,MENTOS,GRM,Almacén,"0,00",0.0
78931053,HUEVO CHOCOLATE SORPRESA ROSA KINDER X 20 GRS,KINDER,GRM,Frutas y Verduras,"0,00",0.0
78933354,ANTITRANSPIRANTE ROLLON INVISIBLE MEN DOVE X50CC,DOVE,GRM,Perfumería,"0,00",0.0
78935068,ANTITRANSPIRANTE ROLLON GO FRESH DOVE X 50 CC,DOVE,CM3,Perfumería,"0,00",0.0
78948310,ANTITRANSPIRANTE ROLL ON DURAZNO DOVE X 50 CC,DOVE,CM3,Perfumería,"0,00",0.0
80042532,EXTRACTO DOBLE DE TOMATE MUTTI TUBO X 130 GRS,MUTTI,GRM,Frutas y Verduras,"0,00",0.0
80042563,SALSA DE TOMATE PASSATA MUTTI BOTELLA X 700 GRS,MUTTI,GRM,Frutas y Verduras,"0,00",0.0
80050094,BARRA DE CHOCOLATE KINDERMAXI X 21 GRS,KINDER,GRS,Desayuno,"0,00",0.0
80050315,BARRA DE CHOCOLATE MIXTO KINDER X 12.5 GRS.,KINDER,GRM,Desayuno,"0,00",0.0
80052487,BOMBONES C COCO Y ALMENDRAS RAFFAELLO X 3 UNI,RAFFAELLO,GRS,Almacén,"0,00",0.0
80052760,OBLEAS RELLENAS C AVELLANAS KINDER BUENO X 43 GRS,KINDER,GRM,Almacén,"0,00",0.0
80761761,OBLEAS RELL AVELLANAS WHITE KINDER BUENO X 43GRS,KINDER,GRS,Desayuno,"0,00",0.0
80867067,OBLEA RELLENA DARK KINDER BUENO X 2 UNI,KINDER,UNI,Almacén,"0,00",0.0
90415418,BEBIDA ENERGIZANTE SUGAR FREE RED BULL LATA 250 CC,RED BULL,CM3,Bebidas,"0,00",0.0
90435225,BEBIDA ENERGIZANTE RED BULL LATA X 355 CC,RED BULL,CM3,Bebidas,"0,00",0.0
8896001262,CERVEZA BLANCA CUSQUENA PORRON X 330 CC,CUSQUENA,CM3,Bebidas,"0,00",0.0
10343858879,CARTUCHO EPSON 73 CYAN (T073220 AL),EPSON,UNI,Almacén,"0,00",0.0
10343864993,CARTUCHO EPSON 90 NEGRO (T090120 AL),EPSON,UNI,Almacén,"0,00",0.0
10343876958,CARTUCHO EPSON 133 MAGENTA (T133320 AL),EPSON,UNI,Almacén,"0,00",0.0
10343876965,CARTUCHO EPSON 133 AMARILLO (T133420 AL),EPSON,UNI,Almacén,"0,00",0.0
10343885301,BOTELLA TINTA EPSON T664220 AL CYAN,EPSON,UNI,Desayuno,"0,00",0.0
10343885325,BOTELLA TINTA EPSON T664420 AL MARILLO,EPSON,UNI,Desayuno,"0,00",0.0
10343902312,CARTUCHO EPSON T196120 AL XP NEGRO,EPSON,UNI,Almacén,"0,00",0.0
10343902329,CARTUCHO EPSON T196220 AL XP CYAN,EPSON,UNI,Almacén,"0,00",0.0
10343902343,CARTUCHO EPSON T196420 AL XP AMARILLO,EPSON,UNI,Almacén,"0,00",0.0
10343922006,CARTUCHO EPSON 296 CYAN (T296220 AL),EPSON,UNI,Almacén,"0,00",0.0
10343922013,CARTUCHO EPSON 296 MAGENTA (T296320 AL),EPSON,UNI,Almacén,"0,00",0.0
10343922020,CARTUCHO EPSON 296 AMARILLO (T296420 AL),EPSON,UNI,Almacén,"0,00",0.0
10343938755,BOTELLA TINTA EPSON T504220 AL CYAN,EPSON,UNI,Desayuno,"0,00",0.0
10343944589,IMPRESORA EPSON ECO TANK M1120 WI FI,EPSON,UNI,Almacén,"0,00",0.0
10343947887,CARTUCHO EPSON T206120 NEGRO AL XPRESSION XP 2101,EPSON,UNI,Almacén,"0,00",0.0
10343947894,CARTUCHO EPSON T206220 AL CYAN XPRESSION XP 2101,EPSON,UNI,Almacén,"0,00",0.0
10343947900,CARTUCHO EPSON T206320 AL MAGENTA XPRESSION XP2101,EPSON,UNI,Almacén,"0,00",0.0
10343947917,CARTUCHO EPSON T206420 AL YELLOW XPRESSION XP 2101,EPSON,UNI,Almacén,"0,00",0.0
10343958081,IMPRESORA MULTIFUNCION EPSON ECO TANK L3210,EPSON,UNI,Almacén,"0,00",0.0
10343958128,IMPRESORA MULTIFUNCION EPSON ECO TANK L3250 WI FI,EPSON,UNI,Almacén,"0,00",0.0
10343965928,BOTELLA TINTA EPSON T664120AL PACK X 2 NEGRO,EPSON,UNI,Desayuno,"0,00",0.0
10343965935,BOTELLA TINTA EPSON T664520 3P PACK X 3 CMY,EPSON,UNI,Desayuno,"0,00",0.0
