supermercado,provincia,localidad,direccion,latitude,longitude
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Carhué 1427,-34.6540018,-58.5189328
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Viamonte 702,-34.5999966,-58.3768762
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Crámer 2463,-34.5613127,-58.4640967
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,México 1530,-34.6156392,-58.3879059
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Pareja 4890,-34.6055693,-58.5237749
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Juan Agustín García 3202,-34.6125403,-58.4861104
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Álvarez Jonte 1938,-34.6033992,-58.4708819
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Lope de Vega 19,-34.6238522,-58.512209
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Independencia 2716,-34.6189998,-58.4038462
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Avenida Independencia 2716,-34.6189998,-58.4038462
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. La Plata 716,-34.6238791,-58.4273051
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Neuquén 520,-34.6160053,-58.43796
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Pedro Goyena 1680,-34.6285719,-58.4520529
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Tucumán 1541,-34.6017077,-58.3886657
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Almirante Brown 261,-34.6288042,-58.3661714
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Caboto 420,-34.6277378,-58.3602478
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Beláustegui 2748,-34.6155158,-58.4754258
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Dorrego 2145,-34.5780804,-58.4392384
Carrefour Hipermercado,Buenos Aires,Quilmes,Av. La Plata 1400,-34.7344038,-58.2789871
Carrefour Maxi,San Luis,San Luis,Ruta 3 km 1,-33.3020736,-66.3369577
Carrefour Maxi,Catamarca,Catamarca,Av. San Martín 450,-28.4642588,-65.7588566
Carrefour Maxi,Buenos Aires,Isidro Casanova,Int. Federico Pedro Russo 5001-5297,-34.7036939,-58.586236
Carrefour Maxi,Buenos Aires,Buenos Aires,Av. Monte Verde 7008,-34.5121516,-58.5248182
Carrefour Maxi,Buenos Aires,Buenos Aires,Av. Libertador 7001,-34.5478812,-58.4556685
Carrefour Maxi,Buenos Aires,Buenos Aires,Av. Mitre 5530,-34.6095237,-58.5773006
Carrefour Maxi,Buenos Aires,Buenos Aires,Av. Pres. Hipólito Yrigoyen 3866-3998,-34.5121516,-58.5248182
Carrefour Maxi,Buenos Aires,Buenos Aires,Av. Gral. Martín Rodríguez 1502,-34.5121516,-58.5248182
Carrefour Maxi,Córdoba,Córdoba,Av. Juan B. Justo 4775,-31.3682914,-64.1762243
Carrefour Maxi,Buenos Aires,Loma Hermosa,Av. Eva Duarte de Perón 8965,-34.5627781,-58.6039158
Carrefour Maxi,Buenos Aires,Cañuelas,Ruta 205 km 65,-35.0333865,-58.7532322
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Nahuel Huapi 5038,-34.5710624,-58.4883244
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Álvarez Thomas 372,-34.5814206,-58.4490008
Carrefour Maxi,Buenos Aires,Temperley,Av. Eva Perón 2679,-34.7728098,-58.3836151
Carrefour Maxi,Buenos Aires,Temperley,Av. Eva Perón 2678,-34.7775453,-58.3922962
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Mariscal Sucre 4230,-34.5743445,-58.4727613
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Córdoba 4967,-34.5916031,-58.4338959
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Castañeda 1836,-34.5539104,-58.4367438
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Junín 1460,-34.5912303,-58.3954424
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Yerbal 2701,-34.6286753,-58.4675965
Carrefour Maxi,Buenos Aires,Chivilcoy,Ruta 5 y Acceso Raúl Alfonsín,-34.8969591,-60.0190499
Carrefour Express,Córdoba,Córdoba,Independencia 585,-31.4229986,-64.1869282
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Tres de Febrero 1857,-34.5718753,-58.4251993
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Leandro N. Alem 198,-34.605642,-58.3704115
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Ayacucho 539,-34.6028104,-58.3954007
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Directorio 2320,-34.6331948,-58.4593852
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Lisandro de Latorre 199,-34.6095579,-58.3887904
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Montiel 168,-34.6411204,-58.5262069
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Belgrano 2160,-34.6143078,-58.3969303
Carrefour Maxi,Buenos Aires,Madariaga,Ruta 11 y 74,-37.1039419,-56.8885421
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Sarmiento 4551,-34.6039976,-58.4296079
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Ambrosetti 758,-34.6095152,-58.43873
